Name,MP ,GS ,A ,CS ,GC ,OG ,PS ,PM ,YC ,RC ,S ,B ,ESP ,BPS ,TP ,Team,Score,Opponent,H/A,GW,Pos,Difficulty rank,Difficulty desc,PID,Own%,Date,KO time,Season start price,Season end price
Fer,90,0,0,0,3,0,0,0,0,0,0,0,12,16,2,QPR,1 - 3,STK,Away,23,MID,19,Difficult,583,1.7%,31/01/2015,15:00,5.5,5.2
Kranjcar,67,1,0,0,2,0,0,0,0,0,0,2,19,24,9,QPR,1 - 3,STK,Away,23,MID,19,Difficult,600,0.1%,31/01/2015,15:00,5.0,4.3
Zamora,45,0,0,0,1,0,0,0,0,0,0,0,2,3,1,QPR,1 - 3,STK,Away,23,FWD,19,Difficult,336,3.0%,31/01/2015,15:00,4.5,4.1
Austin,90,0,1,0,3,0,0,0,0,0,0,0,9,9,5,QPR,1 - 3,STK,Away,23,FWD,19,Difficult,337,27.0%,31/01/2015,15:00,6.0,6.1
Vargas,90,0,0,0,3,0,0,0,0,0,0,0,7,5,2,QPR,1 - 3,STK,Away,23,FWD,19,Difficult,585,0.1%,31/01/2015,15:00,6.5,6.1
Heaton,90,0,0,0,2,0,0,0,0,0,1,0,4,9,1,BUR,0 - 2,SUN,Away,23,GKP,9,Favourable,58,5.7%,31/01/2015,15:00,4.5,4.7
Shackell,90,0,0,0,2,0,0,0,0,0,0,0,13,16,1,BUR,0 - 2,SUN,Away,23,DEF,9,Favourable,61,0.5%,31/01/2015,15:00,4.5,4.4
Mee,90,0,0,0,2,0,0,0,0,0,0,0,1,16,1,BUR,0 - 2,SUN,Away,23,DEF,9,Favourable,64,0.2%,31/01/2015,15:00,4.5,4.5
Trippier,90,0,0,0,2,0,0,0,0,0,0,0,9,18,1,BUR,0 - 2,SUN,Away,23,DEF,9,Favourable,65,1.9%,31/01/2015,15:00,5.0,4.8
Keane,90,0,0,0,2,0,0,0,0,0,0,0,3,15,1,BUR,0 - 2,SUN,Away,23,DEF,9,Favourable,265,0.1%,31/01/2015,15:00,4.5,4.2
Marney,90,0,0,0,2,0,0,0,1,0,0,0,0,10,1,BUR,0 - 2,SUN,Away,23,MID,9,Favourable,66,0.5%,31/01/2015,15:00,4.5,4.2
Jones,90,0,0,0,2,0,0,0,0,0,0,0,4,19,2,BUR,0 - 2,SUN,Away,23,MID,9,Favourable,67,0.8%,31/01/2015,15:00,4.5,4.5
Wallace,30,0,0,0,0,0,0,0,0,0,0,0,11,10,1,BUR,0 - 2,SUN,Away,23,MID,9,Favourable,68,0.1%,31/01/2015,15:00,4.5,4.2
Arfield,90,0,0,0,2,0,0,0,0,0,0,0,4,5,2,BUR,0 - 2,SUN,Away,23,MID,9,Favourable,69,0.4%,31/01/2015,15:00,5.0,4.7
Boyd,60,0,0,0,2,0,0,0,0,0,0,0,7,12,2,BUR,0 - 2,SUN,Away,23,MID,9,Favourable,168,7.1%,31/01/2015,15:00,4.5,4.5
Ings,60,0,0,0,2,0,0,0,0,0,0,0,6,6,2,BUR,0 - 2,SUN,Away,23,FWD,9,Favourable,73,4.5%,31/01/2015,15:00,6.0,5.5
Vokes,15,0,0,0,0,0,0,0,0,0,0,0,-3,1,1,BUR,0 - 2,SUN,Away,23,FWD,9,Favourable,74,0.0%,31/01/2015,15:00,5.5,5.3
Barnes,75,0,0,0,2,0,0,0,0,0,0,0,12,1,2,BUR,0 - 2,SUN,Away,23,FWD,9,Favourable,75,1.4%,31/01/2015,15:00,4.5,4.4
Jutkiewicz,30,0,0,0,0,0,0,0,0,0,0,0,1,-3,1,BUR,0 - 2,SUN,Away,23,FWD,9,Favourable,523,0.2%,31/01/2015,15:00,5.0,4.4
Lloris,90,0,0,1,0,0,0,0,0,0,4,0,17,25,7,TOT,3 - 0,WBA,Away,23,GKP,8,Favourable,364,11.1%,31/01/2015,15:00,5.5,5.4
Rose,90,0,0,1,0,0,0,0,0,0,0,0,11,20,6,TOT,3 - 0,WBA,Away,23,DEF,8,Favourable,366,3.4%,31/01/2015,15:00,5.0,4.8
Walker,90,0,1,1,0,0,0,0,0,0,0,1,22,35,10,TOT,3 - 0,WBA,Away,23,DEF,8,Favourable,369,0.6%,31/01/2015,15:00,6.0,5.8
Vertonghen,90,0,0,1,0,0,0,0,0,0,0,0,14,27,6,TOT,3 - 0,WBA,Away,23,DEF,8,Favourable,371,2.0%,31/01/2015,15:00,6.0,5.8
Fazio,90,0,0,1,0,0,0,0,0,0,0,0,18,27,6,TOT,3 - 0,WBA,Away,23,DEF,8,Favourable,591,0.1%,31/01/2015,15:00,5.5,4.7
Dembélé,61,0,2,1,0,0,0,0,0,0,0,0,26,33,9,TOT,3 - 0,WBA,Away,23,MID,8,Favourable,376,0.3%,31/01/2015,15:00,5.5,5.0
Paulinho,90,0,0,1,0,0,0,0,0,0,0,0,10,14,3,TOT,3 - 0,WBA,Away,23,MID,8,Favourable,382,1.0%,31/01/2015,15:00,7.0,6.7
Chadli,29,0,0,0,0,0,0,0,0,0,0,0,7,5,1,TOT,3 - 0,WBA,Away,23,MID,8,Favourable,384,17.3%,31/01/2015,15:00,6.0,6.2
Lamela,90,0,0,1,0,0,0,0,1,0,0,0,12,13,2,TOT,3 - 0,WBA,Away,23,MID,8,Favourable,386,1.4%,31/01/2015,15:00,8.0,7.4
Eriksen,90,1,0,1,0,0,0,0,0,0,0,2,36,39,10,TOT,3 - 0,WBA,Away,23,MID,8,Favourable,387,20.7%,31/01/2015,15:00,8.0,7.9
Stambouli,17,0,0,0,0,0,0,0,0,0,0,0,3,4,1,TOT,3 - 0,WBA,Away,23,MID,8,Favourable,595,0.0%,31/01/2015,15:00,5.0,4.6
Mason,73,0,0,1,0,0,0,0,0,0,0,0,13,15,3,TOT,3 - 0,WBA,Away,23,MID,8,Favourable,613,0.0%,31/01/2015,15:00,5.0,4.5
Kane,87,2,0,1,0,0,0,0,0,0,0,3,58,50,13,TOT,3 - 0,WBA,Away,23,FWD,8,Favourable,393,38.4%,31/01/2015,15:00,5.0,6.0
Soldado,3,0,0,0,0,0,0,0,0,0,0,0,1,3,1,TOT,3 - 0,WBA,Away,23,FWD,8,Favourable,394,0.8%,31/01/2015,15:00,8.0,7.6
Hart,90,0,0,0,1,0,0,0,0,0,1,0,6,8,2,MCI,1 - 1,CHE,Away,23,GKP,37,Extremely difficult,231,6.7%,31/01/2015,17:30,6.0,6.1
Kompany,90,0,0,0,1,0,0,0,0,0,0,0,7,16,2,MCI,1 - 1,CHE,Away,23,DEF,37,Extremely difficult,236,9.0%,31/01/2015,17:30,6.5,6.4
Clichy,90,0,0,0,1,0,0,0,0,0,0,0,9,18,2,MCI,1 - 1,CHE,Away,23,DEF,37,Extremely difficult,237,14.5%,31/01/2015,17:30,5.5,5.3
Demichelis,90,0,0,0,1,0,0,0,0,0,0,0,8,17,2,MCI,1 - 1,CHE,Away,23,DEF,37,Extremely difficult,241,1.4%,31/01/2015,17:30,6.0,5.9
Sagna,90,0,0,0,1,0,0,0,0,0,0,0,8,10,2,MCI,1 - 1,CHE,Away,23,DEF,37,Extremely difficult,242,1.3%,31/01/2015,17:30,5.5,5.1
Silva,89,1,0,0,1,0,0,0,1,0,0,1,27,20,7,MCI,1 - 1,CHE,Away,23,MID,37,Extremely difficult,245,16.8%,31/01/2015,17:30,9.0,9.8
Milner,90,0,0,0,1,0,0,0,0,0,0,0,4,9,2,MCI,1 - 1,CHE,Away,23,MID,37,Extremely difficult,247,1.6%,31/01/2015,17:30,5.5,5.4
Navas,90,0,0,0,1,0,0,0,0,0,0,2,21,21,4,MCI,1 - 1,CHE,Away,23,MID,37,Extremely difficult,249,1.2%,31/01/2015,17:30,7.5,7.2
Fernandinho,90,0,0,0,1,0,0,0,0,0,0,0,23,19,2,MCI,1 - 1,CHE,Away,23,MID,37,Extremely difficult,250,0.8%,31/01/2015,17:30,7.0,6.8
Fernando,76,0,0,0,1,0,0,0,1,0,0,0,6,5,1,MCI,1 - 1,CHE,Away,23,MID,37,Extremely difficult,252,0.5%,31/01/2015,17:30,5.0,4.8
Lampard,14,0,0,0,0,0,0,0,0,0,0,0,2,3,1,MCI,1 - 1,CHE,Away,23,MID,37,Extremely difficult,551,1.9%,31/01/2015,17:30,5.5,5.0
Dzeko,7,0,0,0,0,0,0,0,0,0,0,0,1,3,1,MCI,1 - 1,CHE,Away,23,FWD,37,Extremely difficult,253,3.8%,31/01/2015,17:30,8.5,7.9
Agüero,83,0,1,0,1,0,0,0,0,0,0,0,12,11,5,MCI,1 - 1,CHE,Away,23,FWD,37,Extremely difficult,254,21.6%,31/01/2015,17:30,12.0,12.9
Jovetic,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,MCI,1 - 1,CHE,Away,23,FWD,37,Extremely difficult,256,3.1%,31/01/2015,17:30,8.0,7.8
McGregor,90,0,0,0,3,0,0,0,0,0,2,0,4,10,1,HUL,0 - 3,NEW,Home,23,GKP,11,Average,155,2.5%,31/01/2015,12:45,5.0,4.7
Davies,90,0,0,0,3,0,0,0,0,0,0,0,10,11,1,HUL,0 - 3,NEW,Home,23,DEF,11,Average,163,2.0%,31/01/2015,12:45,5.0,4.7
Dawson,90,0,0,0,3,0,0,0,0,0,0,0,0,12,1,HUL,0 - 3,NEW,Home,23,DEF,11,Average,365,1.4%,31/01/2015,12:45,5.0,4.6
Robertson,70,0,0,0,2,0,0,0,1,0,0,0,13,2,0,HUL,0 - 3,NEW,Home,23,DEF,11,Average,545,0.5%,31/01/2015,12:45,4.5,4.2
